date,county,state,federal_process_cd,cumulative_cases,cumulative_death
3/6/2020,Honolulu,Hawaii,15003,1,0
3/7/2020,Honolulu,Hawaii,15003,1,0
3/8/2020,Honolulu,Hawaii,15003,2,0
3/9/2020,Honolulu,Hawaii,15003,2,0
3/10/2020,Honolulu,Hawaii,15003,2,0
3/11/2020,Honolulu,Hawaii,15003,2,0
3/12/2020,Honolulu,Hawaii,15003,2,0
3/13/2020,Honolulu,Hawaii,15003,2,0
3/14/2020,Honolulu,Hawaii,15003,2,0
3/14/2020,Kauai,Hawaii,15007,2,0
3/15/2020,Honolulu,Hawaii,15003,4,0
3/15/2020,Kauai,Hawaii,15007,2,0
3/15/2020,Maui,Hawaii,15009,1,0
3/16/2020,Honolulu,Hawaii,15003,6,0
3/16/2020,Kauai,Hawaii,15007,2,0
3/16/2020,Maui,Hawaii,15009,2,0
3/17/2020,Hawaii,Hawaii,15001,1,0
3/17/2020,Honolulu,Hawaii,15003,8,0
3/17/2020,Kauai,Hawaii,15007,2,0
3/17/2020,Maui,Hawaii,15009,3,0
3/18/2020,Hawaii,Hawaii,15001,1,0
3/18/2020,Honolulu,Hawaii,15003,10,0
3/18/2020,Kauai,Hawaii,15007,2,0
3/18/2020,Maui,Hawaii,15009,3,0
3/19/2020,Hawaii,Hawaii,15001,1,0
3/19/2020,Honolulu,Hawaii,15003,18,0
3/19/2020,Kauai,Hawaii,15007,2,0
3/19/2020,Maui,Hawaii,15009,5,0
3/20/2020,Hawaii,Hawaii,15001,1,0
3/20/2020,Honolulu,Hawaii,15003,28,0
3/20/2020,Kauai,Hawaii,15007,3,0
3/20/2020,Maui,Hawaii,15009,5,0
3/21/2020,Hawaii,Hawaii,15001,3,0
3/21/2020,Honolulu,Hawaii,15003,35,0
3/21/2020,Kauai,Hawaii,15007,3,0
3/21/2020,Maui,Hawaii,15009,7,0
3/22/2020,Hawaii,Hawaii,15001,3,0
3/22/2020,Honolulu,Hawaii,15003,41,0
3/22/2020,Kauai,Hawaii,15007,3,0
3/22/2020,Maui,Hawaii,15009,9,0
3/23/2020,Hawaii,Hawaii,15001,5,0
3/23/2020,Honolulu,Hawaii,15003,53,0
3/23/2020,Kauai,Hawaii,15007,3,0
3/23/2020,Maui,Hawaii,15009,11,0
3/23/2020,Unknown,Hawaii,,5,0
3/24/2020,Hawaii,Hawaii,15001,5,0
3/24/2020,Honolulu,Hawaii,15003,58,0
3/24/2020,Kauai,Hawaii,15007,3,0
3/24/2020,Maui,Hawaii,15009,11,0
3/24/2020,Unknown,Hawaii,,13,0
3/25/2020,Hawaii,Hawaii,15001,5,0
3/25/2020,Honolulu,Hawaii,15003,68,0
3/25/2020,Kauai,Hawaii,15007,5,0
3/25/2020,Maui,Hawaii,15009,13,0
3/25/2020,Unknown,Hawaii,,4,0
3/26/2020,Hawaii,Hawaii,15001,5,0
3/26/2020,Honolulu,Hawaii,15003,77,0
3/26/2020,Kauai,Hawaii,15007,5,0
3/26/2020,Maui,Hawaii,15009,14,0
3/26/2020,Unknown,Hawaii,,5,0
3/27/2020,Hawaii,Hawaii,15001,7,0
3/27/2020,Honolulu,Hawaii,15003,87,0
3/27/2020,Kauai,Hawaii,15007,5,0
3/27/2020,Maui,Hawaii,15009,16,0
3/27/2020,Unknown,Hawaii,,5,0
3/28/2020,Hawaii,Hawaii,15001,10,0
3/28/2020,Honolulu,Hawaii,15003,108,0
3/28/2020,Kauai,Hawaii,15007,11,0
3/28/2020,Maui,Hawaii,15009,16,0
3/28/2020,Unknown,Hawaii,,6,0
3/29/2020,Hawaii,Hawaii,15001,12,0
3/29/2020,Honolulu,Hawaii,15003,119,0
3/29/2020,Kauai,Hawaii,15007,12,0
3/29/2020,Maui,Hawaii,15009,20,0
3/29/2020,Unknown,Hawaii,,12,0
3/30/2020,Hawaii,Hawaii,15001,15,0
3/30/2020,Honolulu,Hawaii,15003,139,0
3/30/2020,Kauai,Hawaii,15007,12,0
3/30/2020,Maui,Hawaii,15009,25,0
3/30/2020,Unknown,Hawaii,,13,0
3/31/2020,Hawaii,Hawaii,15001,15,0
3/31/2020,Honolulu,Hawaii,15003,157,1
3/31/2020,Kauai,Hawaii,15007,12,0
3/31/2020,Maui,Hawaii,15009,25,0
3/31/2020,Unknown,Hawaii,,15,0
4/1/2020,Hawaii,Hawaii,15001,18,0
4/1/2020,Honolulu,Hawaii,15003,182,1
4/1/2020,Kauai,Hawaii,15007,12,0
4/1/2020,Maui,Hawaii,15009,26,0
4/1/2020,Unknown,Hawaii,,20,0
4/2/2020,Hawaii,Hawaii,15001,18,0
4/2/2020,Honolulu,Hawaii,15003,206,2
4/2/2020,Kauai,Hawaii,15007,12,0
4/2/2020,Maui,Hawaii,15009,27,0
4/2/2020,Unknown,Hawaii,,20,0
4/3/2020,Hawaii,Hawaii,15001,20,0
4/3/2020,Honolulu,Hawaii,15003,237,2
4/3/2020,Kauai,Hawaii,15007,13,0
4/3/2020,Maui,Hawaii,15009,36,0
4/3/2020,Unknown,Hawaii,,11,1
4/4/2020,Hawaii,Hawaii,15001,22,0
4/4/2020,Honolulu,Hawaii,15003,266,2
4/4/2020,Kauai,Hawaii,15007,15,0
4/4/2020,Maui,Hawaii,15009,38,0
4/4/2020,Unknown,Hawaii,,8,1
4/5/2020,Hawaii,Hawaii,15001,22,0
4/5/2020,Honolulu,Hawaii,15003,281,2
4/5/2020,Kauai,Hawaii,15007,16,0
4/5/2020,Maui,Hawaii,15009,43,0
4/5/2020,Unknown,Hawaii,,7,2
4/6/2020,Hawaii,Hawaii,15001,23,0
4/6/2020,Honolulu,Hawaii,15003,292,4
4/6/2020,Kauai,Hawaii,15007,17,0
4/6/2020,Maui,Hawaii,15009,44,1
4/6/2020,Unknown,Hawaii,,9,0
4/7/2020,Hawaii,Hawaii,15001,23,0
4/7/2020,Honolulu,Hawaii,15003,312,4
4/7/2020,Kauai,Hawaii,15007,18,0
4/7/2020,Maui,Hawaii,15009,48,1
4/7/2020,Unknown,Hawaii,,7,0
4/8/2020,Hawaii,Hawaii,15001,26,0
4/8/2020,Honolulu,Hawaii,15003,328,4
4/8/2020,Kauai,Hawaii,15007,18,0
4/8/2020,Maui,Hawaii,15009,54,1
4/8/2020,Unknown,Hawaii,,7,0
4/9/2020,Hawaii,Hawaii,15001,28,0
4/9/2020,Honolulu,Hawaii,15003,334,4
4/9/2020,Kauai,Hawaii,15007,18,0
4/9/2020,Maui,Hawaii,15009,57,2
4/9/2020,Unknown,Hawaii,,3,0
4/10/2020,Hawaii,Hawaii,15001,31,0
4/10/2020,Honolulu,Hawaii,15003,343,5
4/10/2020,Kauai,Hawaii,15007,19,0
4/10/2020,Maui,Hawaii,15009,66,3
4/10/2020,Unknown,Hawaii,,4,0
4/11/2020,Hawaii,Hawaii,15001,34,0
4/11/2020,Honolulu,Hawaii,15003,348,5
4/11/2020,Kauai,Hawaii,15007,19,0
4/11/2020,Maui,Hawaii,15009,80,3
4/11/2020,Unknown,Hawaii,,3,0
4/12/2020,Hawaii,Hawaii,15001,39,0
4/12/2020,Honolulu,Hawaii,15003,350,6
4/12/2020,Kauai,Hawaii,15007,21,0
4/12/2020,Maui,Hawaii,15009,84,3
4/12/2020,Unknown,Hawaii,,3,0
4/13/2020,Hawaii,Hawaii,15001,40,0
4/13/2020,Honolulu,Hawaii,15003,352,6
4/13/2020,Kauai,Hawaii,15007,21,0
4/13/2020,Maui,Hawaii,15009,86,3
4/13/2020,Unknown,Hawaii,,3,0
4/14/2020,Hawaii,Hawaii,15001,41,0
4/14/2020,Honolulu,Hawaii,15003,358,6
4/14/2020,Kauai,Hawaii,15007,21,0
4/14/2020,Maui,Hawaii,15009,88,3
4/14/2020,Unknown,Hawaii,,3,0
4/15/2020,Hawaii,Hawaii,15001,41,0
4/15/2020,Honolulu,Hawaii,15003,369,6
4/15/2020,Kauai,Hawaii,15007,21,0
4/15/2020,Maui,Hawaii,15009,92,3
4/15/2020,Unknown,Hawaii,,1,0
4/16/2020,Hawaii,Hawaii,15001,41,0
4/16/2020,Honolulu,Hawaii,15003,373,6
4/16/2020,Kauai,Hawaii,15007,21,0
4/16/2020,Maui,Hawaii,15009,95,3
4/16/2020,Unknown,Hawaii,,5,0
4/17/2020,Hawaii,Hawaii,15001,44,0
4/17/2020,Honolulu,Hawaii,15003,380,6
4/17/2020,Kauai,Hawaii,15007,21,0
4/17/2020,Maui,Hawaii,15009,102,3
4/18/2020,Hawaii,Hawaii,15001,61,0
4/18/2020,Honolulu,Hawaii,15003,382,6
4/18/2020,Kauai,Hawaii,15007,21,0
4/18/2020,Maui,Hawaii,15009,104,3
4/19/2020,Hawaii,Hawaii,15001,62,0
4/19/2020,Honolulu,Hawaii,15003,385,6
4/19/2020,Kauai,Hawaii,15007,21,0
4/19/2020,Maui,Hawaii,15009,106,4
4/20/2020,Hawaii,Hawaii,15001,64,0
4/20/2020,Honolulu,Hawaii,15003,385,6
4/20/2020,Kauai,Hawaii,15007,21,0
4/20/2020,Maui,Hawaii,15009,108,4
4/21/2020,Hawaii,Hawaii,15001,64,0
4/21/2020,Honolulu,Hawaii,15003,385,7
4/21/2020,Kauai,Hawaii,15007,21,0
4/21/2020,Maui,Hawaii,15009,110,5
4/22/2020,Hawaii,Hawaii,15001,67,0
4/22/2020,Honolulu,Hawaii,15003,388,7
4/22/2020,Kauai,Hawaii,15007,21,0
4/22/2020,Maui,Hawaii,15009,110,5
4/23/2020,Hawaii,Hawaii,15001,68,0
4/23/2020,Honolulu,Hawaii,15003,389,7
4/23/2020,Kauai,Hawaii,15007,21,0
4/23/2020,Maui,Hawaii,15009,112,5
4/24/2020,Hawaii,Hawaii,15001,69,0
4/24/2020,Honolulu,Hawaii,15003,392,8
4/24/2020,Kauai,Hawaii,15007,21,0
4/24/2020,Maui,Hawaii,15009,113,5
4/25/2020,Hawaii,Hawaii,15001,69,0
4/25/2020,Honolulu,Hawaii,15003,395,9
4/25/2020,Kauai,Hawaii,15007,21,0
4/25/2020,Maui,Hawaii,15009,112,5
4/26/2020,Hawaii,Hawaii,15001,70,0
4/26/2020,Honolulu,Hawaii,15003,396,9
4/26/2020,Kauai,Hawaii,15007,21,0
4/26/2020,Maui,Hawaii,15009,112,5
4/27/2020,Hawaii,Hawaii,15001,70,0
4/27/2020,Honolulu,Hawaii,15003,396,11
4/27/2020,Kauai,Hawaii,15007,21,0
4/27/2020,Maui,Hawaii,15009,113,5
4/28/2020,Hawaii,Hawaii,15001,70,0
4/28/2020,Honolulu,Hawaii,15003,396,11
4/28/2020,Kauai,Hawaii,15007,21,0
4/28/2020,Maui,Hawaii,15009,115,5
4/29/2020,Hawaii,Hawaii,15001,70,0
4/29/2020,Honolulu,Hawaii,15003,399,11
4/29/2020,Kauai,Hawaii,15007,21,0
4/29/2020,Maui,Hawaii,15009,115,5
4/30/2020,Hawaii,Hawaii,15001,73,0
4/30/2020,Honolulu,Hawaii,15003,399,11
4/30/2020,Kauai,Hawaii,15007,21,0
4/30/2020,Maui,Hawaii,15009,116,5
5/1/2020,Hawaii,Hawaii,15001,73,0
5/1/2020,Honolulu,Hawaii,15003,400,11
5/1/2020,Kauai,Hawaii,15007,21,0
5/1/2020,Maui,Hawaii,15009,116,5
5/2/2020,Hawaii,Hawaii,15001,73,0
5/2/2020,Honolulu,Hawaii,15003,400,11
5/2/2020,Kauai,Hawaii,15007,21,0
5/2/2020,Maui,Hawaii,15009,117,5
5/3/2020,Hawaii,Hawaii,15001,74,0
5/3/2020,Honolulu,Hawaii,15003,400,11
5/3/2020,Kauai,Hawaii,15007,21,0
5/3/2020,Maui,Hawaii,15009,116,6
5/4/2020,Hawaii,Hawaii,15001,75,0
5/4/2020,Honolulu,Hawaii,15003,400,11
5/4/2020,Kauai,Hawaii,15007,21,0
5/4/2020,Maui,Hawaii,15009,116,6
5/5/2020,Hawaii,Hawaii,15001,74,0
5/5/2020,Honolulu,Hawaii,15003,404,11
5/5/2020,Kauai,Hawaii,15007,21,0
5/5/2020,Maui,Hawaii,15009,116,6
5/6/2020,Hawaii,Hawaii,15001,74,0
5/6/2020,Honolulu,Hawaii,15003,405,11
5/6/2020,Kauai,Hawaii,15007,21,0
5/6/2020,Maui,Hawaii,15009,116,6
5/7/2020,Hawaii,Hawaii,15001,74,0
5/7/2020,Honolulu,Hawaii,15003,408,11
5/7/2020,Kauai,Hawaii,15007,21,0
5/7/2020,Maui,Hawaii,15009,116,6
5/8/2020,Hawaii,Hawaii,15001,74,0
5/8/2020,Honolulu,Hawaii,15003,408,11
5/8/2020,Kauai,Hawaii,15007,21,0
5/8/2020,Maui,Hawaii,15009,116,6
5/9/2020,Hawaii,Hawaii,15001,75,0
5/9/2020,Honolulu,Hawaii,15003,407,11
5/9/2020,Kauai,Hawaii,15007,21,0
5/9/2020,Maui,Hawaii,15009,117,6
5/10/2020,Hawaii,Hawaii,15001,75,0
5/10/2020,Honolulu,Hawaii,15003,408,11
5/10/2020,Kauai,Hawaii,15007,21,0
5/10/2020,Maui,Hawaii,15009,117,6
5/11/2020,Hawaii,Hawaii,15001,75,0
5/11/2020,Honolulu,Hawaii,15003,410,11
5/11/2020,Kauai,Hawaii,15007,21,0
5/11/2020,Maui,Hawaii,15009,117,6
5/12/2020,Hawaii,Hawaii,15001,75,0
5/12/2020,Honolulu,Hawaii,15003,411,11
5/12/2020,Kauai,Hawaii,15007,21,0
5/12/2020,Maui,Hawaii,15009,117,6
5/13/2020,Hawaii,Hawaii,15001,75,0
5/13/2020,Honolulu,Hawaii,15003,414,11
5/13/2020,Kauai,Hawaii,15007,21,0
5/13/2020,Maui,Hawaii,15009,117,6
5/14/2020,Hawaii,Hawaii,15001,75,0
5/14/2020,Honolulu,Hawaii,15003,414,11
5/14/2020,Kauai,Hawaii,15007,21,0
5/14/2020,Maui,Hawaii,15009,117,6
5/15/2020,Hawaii,Hawaii,15001,76,0
5/15/2020,Honolulu,Hawaii,15003,414,11
5/15/2020,Kauai,Hawaii,15007,21,0
5/15/2020,Maui,Hawaii,15009,117,6
5/16/2020,Hawaii,Hawaii,15001,76,0
5/16/2020,Honolulu,Hawaii,15003,415,11
5/16/2020,Kauai,Hawaii,15007,21,0
5/16/2020,Maui,Hawaii,15009,117,6
5/17/2020,Hawaii,Hawaii,15001,77,0
5/17/2020,Honolulu,Hawaii,15003,415,11
5/17/2020,Kauai,Hawaii,15007,21,0
5/17/2020,Maui,Hawaii,15009,117,6
5/18/2020,Hawaii,Hawaii,15001,77,0
5/18/2020,Honolulu,Hawaii,15003,415,11
5/18/2020,Kauai,Hawaii,15007,21,0
5/18/2020,Maui,Hawaii,15009,117,6
5/19/2020,Hawaii,Hawaii,15001,78,0
5/19/2020,Honolulu,Hawaii,15003,415,11
5/19/2020,Kauai,Hawaii,15007,21,0
5/19/2020,Maui,Hawaii,15009,117,6
5/20/2020,Hawaii,Hawaii,15001,79,0
5/20/2020,Honolulu,Hawaii,15003,416,11
5/20/2020,Kauai,Hawaii,15007,21,0
5/20/2020,Maui,Hawaii,15009,117,6
5/21/2020,Hawaii,Hawaii,15001,82,0
5/21/2020,Honolulu,Hawaii,15003,416,11
5/21/2020,Kauai,Hawaii,15007,21,0
5/21/2020,Maui,Hawaii,15009,118,6
5/22/2020,Hawaii,Hawaii,15001,81,0
5/22/2020,Honolulu,Hawaii,15003,414,11
5/22/2020,Kauai,Hawaii,15007,20,0
5/22/2020,Maui,Hawaii,15009,117,6
5/23/2020,Hawaii,Hawaii,15001,81,0
5/23/2020,Honolulu,Hawaii,15003,414,11
5/23/2020,Kauai,Hawaii,15007,20,0
5/23/2020,Maui,Hawaii,15009,118,6
5/24/2020,Hawaii,Hawaii,15001,81,0
5/24/2020,Honolulu,Hawaii,15003,414,11
5/24/2020,Kauai,Hawaii,15007,20,0
5/24/2020,Maui,Hawaii,15009,118,6
5/25/2020,Hawaii,Hawaii,15001,81,0
5/25/2020,Honolulu,Hawaii,15003,414,11
5/25/2020,Kauai,Hawaii,15007,20,0
5/25/2020,Maui,Hawaii,15009,118,6
5/26/2020,Hawaii,Hawaii,15001,81,0
5/26/2020,Honolulu,Hawaii,15003,414,11
5/26/2020,Kauai,Hawaii,15007,20,0
5/26/2020,Maui,Hawaii,15009,118,6
5/27/2020,Hawaii,Hawaii,15001,82,0
5/27/2020,Honolulu,Hawaii,15003,414,11
5/27/2020,Kauai,Hawaii,15007,20,0
5/27/2020,Maui,Hawaii,15009,118,6
5/28/2020,Hawaii,Hawaii,15001,82,0
5/28/2020,Honolulu,Hawaii,15003,417,11
5/28/2020,Kauai,Hawaii,15007,20,0
5/28/2020,Maui,Hawaii,15009,118,6
5/29/2020,Hawaii,Hawaii,15001,82,0
5/29/2020,Honolulu,Hawaii,15003,419,11
5/29/2020,Kauai,Hawaii,15007,20,0
5/29/2020,Maui,Hawaii,15009,118,6
5/30/2020,Hawaii,Hawaii,15001,81,0
5/30/2020,Honolulu,Hawaii,15003,421,11
5/30/2020,Kauai,Hawaii,15007,20,0
5/30/2020,Maui,Hawaii,15009,119,6
5/31/2020,Hawaii,Hawaii,15001,81,0
5/31/2020,Honolulu,Hawaii,15003,421,11
5/31/2020,Kauai,Hawaii,15007,20,0
5/31/2020,Maui,Hawaii,15009,120,6
6/1/2020,Hawaii,Hawaii,15001,81,0
6/1/2020,Honolulu,Hawaii,15003,421,11
6/1/2020,Kauai,Hawaii,15007,20,0
6/1/2020,Maui,Hawaii,15009,120,6
6/2/2020,Hawaii,Hawaii,15001,81,0
6/2/2020,Honolulu,Hawaii,15003,422,11
6/2/2020,Kauai,Hawaii,15007,20,0
6/2/2020,Maui,Hawaii,15009,120,6
6/3/2020,Hawaii,Hawaii,15001,81,0
6/3/2020,Honolulu,Hawaii,15003,423,11
6/3/2020,Kauai,Hawaii,15007,20,0
6/3/2020,Maui,Hawaii,15009,119,6
6/4/2020,Hawaii,Hawaii,15001,81,0
6/4/2020,Honolulu,Hawaii,15003,424,11
6/4/2020,Kauai,Hawaii,15007,20,0
6/4/2020,Maui,Hawaii,15009,119,6
6/5/2020,Hawaii,Hawaii,15001,81,0
6/5/2020,Honolulu,Hawaii,15003,431,11
6/5/2020,Kauai,Hawaii,15007,21,0
6/5/2020,Maui,Hawaii,15009,120,6
6/6/2020,Hawaii,Hawaii,15001,81,0
6/6/2020,Honolulu,Hawaii,15003,439,11
6/6/2020,Kauai,Hawaii,15007,21,0
6/6/2020,Maui,Hawaii,15009,120,6
6/7/2020,Hawaii,Hawaii,15001,81,0
6/7/2020,Honolulu,Hawaii,15003,441,11
6/7/2020,Kauai,Hawaii,15007,21,0
6/7/2020,Maui,Hawaii,15009,120,6
6/8/2020,Hawaii,Hawaii,15001,81,0
6/8/2020,Honolulu,Hawaii,15003,442,11
6/8/2020,Kauai,Hawaii,15007,21,0
6/8/2020,Maui,Hawaii,15009,120,6
6/9/2020,Hawaii,Hawaii,15001,81,0
6/9/2020,Honolulu,Hawaii,15003,448,11
6/9/2020,Kauai,Hawaii,15007,21,0
6/9/2020,Maui,Hawaii,15009,120,6
6/10/2020,Hawaii,Hawaii,15001,81,0
6/10/2020,Honolulu,Hawaii,15003,451,11
6/10/2020,Kauai,Hawaii,15007,21,0
6/10/2020,Maui,Hawaii,15009,120,6
6/11/2020,Hawaii,Hawaii,15001,81,0
6/11/2020,Honolulu,Hawaii,15003,458,11
6/11/2020,Kauai,Hawaii,15007,21,0
6/11/2020,Maui,Hawaii,15009,120,6
6/12/2020,Hawaii,Hawaii,15001,81,0
6/12/2020,Honolulu,Hawaii,15003,472,11
6/12/2020,Kauai,Hawaii,15007,21,0
6/12/2020,Maui,Hawaii,15009,120,6
6/13/2020,Hawaii,Hawaii,15001,81,0
6/13/2020,Honolulu,Hawaii,15003,489,11
6/13/2020,Kauai,Hawaii,15007,21,0
6/13/2020,Maui,Hawaii,15009,120,6
6/14/2020,Hawaii,Hawaii,15001,82,0
6/14/2020,Honolulu,Hawaii,15003,493,11
6/14/2020,Kauai,Hawaii,15007,21,0
6/14/2020,Maui,Hawaii,15009,120,6
6/15/2020,Hawaii,Hawaii,15001,82,0
6/15/2020,Honolulu,Hawaii,15003,501,11
6/15/2020,Kauai,Hawaii,15007,21,0
6/15/2020,Maui,Hawaii,15009,120,6
6/16/2020,Hawaii,Hawaii,15001,82,0
6/16/2020,Honolulu,Hawaii,15003,505,11
6/16/2020,Kauai,Hawaii,15007,21,0
6/16/2020,Maui,Hawaii,15009,120,6
6/17/2020,Hawaii,Hawaii,15001,83,0
6/17/2020,Honolulu,Hawaii,15003,508,11
6/17/2020,Kauai,Hawaii,15007,21,0
6/17/2020,Maui,Hawaii,15009,120,6
6/18/2020,Hawaii,Hawaii,15001,83,0
6/18/2020,Honolulu,Hawaii,15003,526,11
6/18/2020,Kauai,Hawaii,15007,21,0
6/18/2020,Maui,Hawaii,15009,120,6
6/19/2020,Hawaii,Hawaii,15001,83,0
6/19/2020,Honolulu,Hawaii,15003,551,11
6/19/2020,Kauai,Hawaii,15007,22,0
6/19/2020,Maui,Hawaii,15009,121,6
6/20/2020,Hawaii,Hawaii,15001,83,0
6/20/2020,Honolulu,Hawaii,15003,557,11
6/20/2020,Kauai,Hawaii,15007,29,0
6/20/2020,Maui,Hawaii,15009,122,6
6/21/2020,Hawaii,Hawaii,15001,85,0
6/21/2020,Honolulu,Hawaii,15003,566,11
6/21/2020,Kauai,Hawaii,15007,29,0
6/21/2020,Maui,Hawaii,15009,122,6
6/22/2020,Hawaii,Hawaii,15001,85,0
6/22/2020,Honolulu,Hawaii,15003,568,11
6/22/2020,Kauai,Hawaii,15007,29,0
6/22/2020,Maui,Hawaii,15009,122,6
6/23/2020,Hawaii,Hawaii,15001,85,0
6/23/2020,Honolulu,Hawaii,15003,571,11
6/23/2020,Kauai,Hawaii,15007,29,0
6/23/2020,Maui,Hawaii,15009,122,6
6/24/2020,Hawaii,Hawaii,15001,86,0
6/24/2020,Honolulu,Hawaii,15003,584,11
6/24/2020,Kauai,Hawaii,15007,29,0
6/24/2020,Maui,Hawaii,15009,122,6
6/25/2020,Hawaii,Hawaii,15001,86,0
6/25/2020,Honolulu,Hawaii,15003,595,11
6/25/2020,Kauai,Hawaii,15007,33,0
6/25/2020,Maui,Hawaii,15009,122,6
6/26/2020,Hawaii,Hawaii,15001,86,0
6/26/2020,Honolulu,Hawaii,15003,608,11
6/26/2020,Kauai,Hawaii,15007,34,0
6/26/2020,Maui,Hawaii,15009,122,6
6/27/2020,Hawaii,Hawaii,15001,86,0
6/27/2020,Honolulu,Hawaii,15003,613,12
6/27/2020,Kauai,Hawaii,15007,35,0
6/27/2020,Maui,Hawaii,15009,122,6
6/28/2020,Hawaii,Hawaii,15001,87,0
6/28/2020,Honolulu,Hawaii,15003,636,12
6/28/2020,Kauai,Hawaii,15007,37,0
6/28/2020,Maui,Hawaii,15009,123,6
6/29/2020,Hawaii,Hawaii,15001,87,0
6/29/2020,Honolulu,Hawaii,15003,638,12
6/29/2020,Kauai,Hawaii,15007,37,0
6/29/2020,Maui,Hawaii,15009,122,6
6/30/2020,Hawaii,Hawaii,15001,87,0
6/30/2020,Honolulu,Hawaii,15003,652,12
6/30/2020,Kauai,Hawaii,15007,38,0
6/30/2020,Maui,Hawaii,15009,123,6
6/30/2020,Unknown,Hawaii,,1,0
7/1/2020,Hawaii,Hawaii,15001,87,0
7/1/2020,Honolulu,Hawaii,15003,659,12
7/1/2020,Kauai,Hawaii,15007,38,0
7/1/2020,Maui,Hawaii,15009,125,6
7/2/2020,Hawaii,Hawaii,15001,90,0
7/2/2020,Honolulu,Hawaii,15003,676,12
7/2/2020,Kauai,Hawaii,15007,38,0
7/2/2020,Maui,Hawaii,15009,125,6
7/3/2020,Hawaii,Hawaii,15001,91,0
7/3/2020,Honolulu,Hawaii,15003,701,13
7/3/2020,Kauai,Hawaii,15007,38,0
7/3/2020,Maui,Hawaii,15009,127,6
7/4/2020,Hawaii,Hawaii,15001,93,0
7/4/2020,Honolulu,Hawaii,15003,720,13
7/4/2020,Kauai,Hawaii,15007,40,0
7/4/2020,Maui,Hawaii,15009,128,6
7/5/2020,Hawaii,Hawaii,15001,93,0
7/5/2020,Honolulu,Hawaii,15003,744,13
7/5/2020,Kauai,Hawaii,15007,40,0
7/5/2020,Maui,Hawaii,15009,128,6
7/6/2020,Hawaii,Hawaii,15001,94,0
7/6/2020,Honolulu,Hawaii,15003,750,13
7/6/2020,Kauai,Hawaii,15007,40,0
7/6/2020,Maui,Hawaii,15009,128,6
7/7/2020,Hawaii,Hawaii,15001,95,0
7/7/2020,Honolulu,Hawaii,15003,788,13
7/7/2020,Kauai,Hawaii,15007,42,0
7/7/2020,Maui,Hawaii,15009,128,6
7/8/2020,Hawaii,Hawaii,15001,96,0
7/8/2020,Honolulu,Hawaii,15003,808,13
7/8/2020,Kauai,Hawaii,15007,42,0
7/8/2020,Maui,Hawaii,15009,130,6
7/9/2020,Hawaii,Hawaii,15001,97,0
7/9/2020,Honolulu,Hawaii,15003,842,13
7/9/2020,Kauai,Hawaii,15007,43,0
7/9/2020,Maui,Hawaii,15009,130,6
7/10/2020,Hawaii,Hawaii,15001,98,0
7/10/2020,Honolulu,Hawaii,15003,867,13
7/10/2020,Kauai,Hawaii,15007,43,0
7/10/2020,Maui,Hawaii,15009,131,6
7/11/2020,Hawaii,Hawaii,15001,100,0
7/11/2020,Honolulu,Hawaii,15003,905,13
7/11/2020,Kauai,Hawaii,15007,43,0
7/11/2020,Maui,Hawaii,15009,133,6
7/12/2020,Hawaii,Hawaii,15001,101,0
